stringA,stringB,itemNumber,type
pritent,partify,37,original
domeave,shoureg,7,original
montems,suption,12,original
refends,suprega,28,original
engstin,filisma,31,original
clester,dolsimp,41,original
lifinta,raddreg,6,original
weastin,rembrob,38,original
pertice,proundi,33,original
tessina,prousup,48,original
worinta,togriva,21,original
tatinse,suppopp,50,original
anathly,shouges,5,original
dessaga,devervi,19,original
materal,wiligna,30,original
avelian,thregul,13,original
ausenus,throdyn,8,original
deffent,specity,17,original
anottac,morying,42,original
sersice,fityrud,43,original
sectori,belysty,39,original
exturea,limanol,16,original
trinche,advical,36,original
slannet,probble,44,original
whetesi,suprovi,45,original
servica,pargest,4,original
benervi,fainges,1,original
gramile,vernion,15,original
jusessa,telcout,20,original
varketa,throuss,9,original
montsim,nothrog,11,original
pachang,hastems,34,original
larlize,somersi,23,original
posiver,sounano,18,original
howinge,thervil,3,original
sanybon,incleas,25,original
pranomp,arcents,40,original
clarral,systina,14,original
becadev,howseri,22,original
devivar,mestins,32,original
moutlem,arthrol,24,original
grashin,delpith,2,original
himumma,anotain,46,original
commedi,englita,26,original
bollyze,anceste,49,original
qualrev,meentra,47,original
prounds,rousent,35,original
pervica,slanoth,29,original
groctsi,premser,10,original
forings,strewri,27,original
togriva,materal,84,new
groctsi,anathly,79,new
rembrob,deffent,98,new
filisma,slanoth,96,new
arcents,partify,128,new
prousup,strewri,131,new
commedi,telcout,88,new
systina,rembrob,118,new
arcents,himumma,144,new
shouges,ausenus,52,new
qualrev,refends,140,new
throdyn,vernion,70,new
fainges,suprega,66,new
lifinta,fityrud,109,new
tatinse,belysty,139,new
becadev,tatinse,127,new
nothrog,posiver,55,new
probble,anathly,110,new
anottac,suption,104,new
howinge,exturea,58,new
jusessa,clester,91,new
prousup,ausenus,123,new
sounano,moutlem,81,new
specity,pargest,74,new
gramile,deffent,69,new
sersice,himumma,149,new
telcout,suprovi,125,new
delpith,fityrud,92,new
montsim,anotain,105,new
probble,lifinta,112,new
clester,qualrev,130,new
morying,montems,95,new
throuss,belysty,90,new
delpith,posiver,64,new
sounano,shoureg,77,new
throdyn,telcout,72,new
shouges,englita,67,new
clester,prousup,141,new
belysty,exturea,102,new
anathly,fityrud,107,new
domeave,bollyze,134,new
rembrob,arthrol,103,new
fityrud,thervil,117,new
thregul,anceste,135,new
weastin,pachang,133,new
proundi,refends,99,new
suppopp,sectori,137,new
suprega,thervil,61,new
suppopp,strewri,150,new
clester,filisma,116,new
montems,jusessa,53,new
dessaga,varketa,59,new
pertice,thregul,89,new
vernion,dolsimp,101,new
thervil,montsim,62,new
refends,wiligna,111,new
posiver,premser,60,new
grashin,fainges,73,new
prounds,anceste,132,new
benervi,lifinta,56,new
belysty,slanoth,93,new
suption,systina,76,new
advical,hastems,106,new
refends,commedi,85,new
bollyze,deffent,148,new
vernion,benervi,63,new
probble,strewri,147,new
meentra,benervi,100,new
anathly,pervica,51,new
benervi,arcents,83,new
raddreg,anotain,108,new
dolsimp,slanoth,138,new
anathly,devervi,57,new
suprega,anottac,114,new
tatinse,qualrev,143,new
gramile,nothrog,65,new
suprovi,domeave,120,new
bollyze,tessina,126,new
whetesi,probble,136,new
larlize,systina,87,new
sersice,prousup,146,new
delpith,servica,68,new
pervica,anottac,119,new
dolsimp,deffent,97,new
telcout,suppopp,129,new
meentra,pranomp,142,new
trinche,thregul,82,new
sounano,gramile,78,new
rousent,belysty,121,new
avelian,togriva,54,new
anceste,gramile,122,new
pargest,sanybon,71,new
meentra,commedi,145,new
lifinta,thregul,80,new
pranomp,dessaga,115,new
trinche,moutlem,113,new
shoureg,anathly,75,new
pertice,sanybon,94,new
materal,becadev,86,new
sectori,rembrob,124,new
