stringA,stringB,itemNumber,type
pargest,servica,4,original
exturea,limanol,16,original
mestins,devivar,32,original
incleas,sanybon,25,original
sounano,posiver,18,original
premser,groctsi,10,original
hastems,pachang,34,original
montems,suption,12,original
weastin,rembrob,38,original
anotain,himumma,46,original
meentra,qualrev,47,original
anceste,bollyze,49,original
lifinta,raddreg,6,original
slannet,probble,44,original
slanoth,pervica,29,original
telcout,jusessa,20,original
worinta,togriva,21,original
materal,wiligna,30,original
tessina,prousup,48,original
somersi,larlize,23,original
ausenus,throdyn,8,original
dessaga,devervi,19,original
vernion,gramile,15,original
arcents,pranomp,40,original
pertice,proundi,33,original
suppopp,tatinse,50,original
suprovi,whetesi,45,original
howinge,thervil,3,original
shouges,anathly,5,original
morying,anottac,42,original
thregul,avelian,13,original
fityrud,sersice,43,original
grashin,delpith,2,original
dolsimp,clester,41,original
benervi,fainges,1,original
commedi,englita,26,original
suprega,refends,28,original
moutlem,arthrol,24,original
montsim,nothrog,11,original
filisma,engstin,31,original
belysty,sectori,39,original
varketa,throuss,9,original
forings,strewri,27,original
partify,pritent,37,original
shoureg,domeave,7,original
advical,trinche,36,original
specity,deffent,17,original
becadev,howseri,22,original
prounds,rousent,35,original
clarral,systina,14,original
engstin,devivar,101,new
exturea,pranomp,97,new
howseri,morying,105,new
arcents,pervica,96,new
clester,partify,133,new
anathly,howinge,68,new
anceste,devivar,148,new
montems,limanol,76,new
deffent,prousup,144,new
anotain,togriva,110,new
engstin,gramile,90,new
pargest,devervi,51,new
pritent,himumma,129,new
anceste,raddreg,116,new
engstin,prousup,122,new
clester,suption,107,new
tessina,proundi,146,new
anathly,dolsimp,100,new
sectori,filisma,115,new
engstin,clarral,86,new
domeave,thregul,72,new
anotain,partify,150,new
clester,probble,137,new
dessaga,raddreg,65,new
ausenus,forings,79,new
incleas,devivar,117,new
worinta,raddreg,62,new
meentra,probble,143,new
howseri,rembrob,114,new
throuss,clarral,53,new
deffent,becadev,87,new
nothrog,probble,99,new
lifinta,himumma,108,new
systina,montsim,60,new
anceste,bollyze,125,new
sersice,jusessa,104,new
systina,prousup,147,new
avelian,thregul,64,new
tessina,pranomp,121,new
slanoth,filisma,109,new
thervil,togriva,66,new
delpith,throdyn,59,new
nothrog,specity,56,new
incleas,gramile,88,new
ausenus,raddreg,52,new
delpith,becadev,63,new
sounano,pervica,81,new
engstin,suprovi,128,new
clester,limanol,95,new
strewri,bollyze,124,new
thregul,telcout,67,new
qualrev,pargest,92,new
suppopp,tatinse,142,new
throdyn,howseri,69,new
himumma,tatinse,141,new
larlize,worinta,83,new
clarral,fainges,78,new
limanol,weastin,98,new
devervi,meentra,127,new
devivar,fainges,55,new
bollyze,rousent,130,new
forings,tessina,123,new
moutlem,whetesi,120,new
servica,engstin,77,new
rembrob,pertice,126,new
becadev,anceste,138,new
wiligna,anotain,139,new
partify,slanoth,106,new
rembrob,pritent,145,new
suprega,delpith,54,new
suppopp,arcents,135,new
wiligna,slanoth,119,new
rembrob,englita,91,new
grashin,worinta,58,new
clarral,whetesi,113,new
prousup,dessaga,136,new
belysty,englita,102,new
fityrud,anathly,112,new
howinge,slannet,82,new
grashin,delpith,57,new
sanybon,thervil,74,new
throdyn,refends,80,new
wiligna,delpith,61,new
fityrud,dessaga,93,new
shoureg,tatinse,140,new
pachang,lifinta,84,new
becadev,pargest,75,new
belysty,materal,118,new
suppopp,engstin,132,new
gramile,pargest,70,new
suprovi,somersi,134,new
qualrev,anotain,131,new
bollyze,thervil,149,new
pranomp,howseri,94,new
becadev,slanoth,85,new
clarral,strewri,89,new
belysty,telcout,111,new
morying,worinta,103,new
limanol,vernion,73,new
grashin,nothrog,71,new
