stringA,stringB,itemNumber,type
strewri,forings,27,original
howseri,becadev,22,original
delpith,grashin,2,original
tessina,prousup,48,original
sounano,posiver,18,original
fainges,benervi,1,original
dessaga,devervi,19,original
somersi,larlize,23,original
ausenus,throdyn,8,original
montems,suption,12,original
nothrog,montsim,11,original
hastems,pachang,34,original
avelian,thregul,13,original
rousent,prounds,35,original
premser,groctsi,10,original
refends,suprega,28,original
slannet,probble,44,original
vernion,gramile,15,original
engstin,filisma,31,original
lifinta,raddreg,6,original
anottac,morying,42,original
sectori,belysty,39,original
mestins,devivar,32,original
meentra,qualrev,47,original
weastin,rembrob,38,original
himumma,anotain,46,original
fityrud,sersice,43,original
howinge,thervil,3,original
partify,pritent,37,original
moutlem,arthrol,24,original
varketa,throuss,9,original
jusessa,telcout,20,original
togriva,worinta,21,original
commedi,englita,26,original
suprovi,whetesi,45,original
dolsimp,clester,41,original
advical,trinche,36,original
pranomp,arcents,40,original
clarral,systina,14,original
bollyze,anceste,49,original
proundi,pertice,33,original
suppopp,tatinse,50,original
wiligna,materal,30,original
limanol,exturea,16,original
servica,pargest,4,original
shouges,anathly,5,original
specity,deffent,17,original
sanybon,incleas,25,original
pervica,slanoth,29,original
shoureg,domeave,7,original
suprovi,sounano,145,new
varketa,englita,80,new
posiver,anathly,67,new
ausenus,suppopp,139,new
throuss,qualrev,123,new
pritent,himumma,142,new
materal,limanol,83,new
himumma,ausenus,112,new
proundi,lifinta,88,new
fainges,moutlem,63,new
bollyze,rousent,124,new
suprovi,clester,122,new
clarral,arcents,105,new
posiver,exturea,69,new
premser,belysty,92,new
varketa,systina,66,new
jusessa,weastin,94,new
shoureg,fainges,73,new
pervica,dessaga,82,new
posiver,anottac,104,new
montsim,weastin,90,new
becadev,domeave,79,new
anotain,prounds,149,new
shouges,premser,57,new
suption,anceste,134,new
suprega,tatinse,138,new
incleas,throdyn,78,new
trinche,togriva,103,new
commedi,slanoth,91,new
meentra,pervica,132,new
somersi,suprovi,137,new
suppopp,domeave,125,new
grashin,somersi,53,new
anceste,bollyze,146,new
englita,belysty,99,new
rembrob,hastems,135,new
sectori,prounds,141,new
dessaga,bollyze,136,new
materal,proundi,110,new
nothrog,qualrev,127,new
prousup,delpith,128,new
devervi,domeave,52,new
meentra,filisma,126,new
sanybon,nothrog,76,new
englita,benervi,74,new
jusessa,deffent,75,new
pritent,devivar,96,new
avelian,jusessa,70,new
sounano,probble,118,new
rembrob,telcout,119,new
jusessa,vernion,54,new
slannet,clarral,101,new
prousup,pritent,143,new
sounano,gramile,56,new
mestins,himumma,133,new
pachang,weastin,148,new
devivar,sersice,129,new
dolsimp,nothrog,98,new
pertice,grashin,77,new
mestins,moutlem,113,new
trinche,filisma,107,new
wiligna,exturea,81,new
rousent,suppopp,144,new
devervi,trinche,117,new
proundi,anathly,85,new
slannet,shouges,87,new
shoureg,thervil,61,new
nothrog,suppopp,130,new
clester,thregul,95,new
grashin,tatinse,111,new
telcout,thregul,72,new
gramile,slanoth,86,new
throuss,moutlem,59,new
incleas,raddreg,64,new
pertice,moutlem,115,new
deffent,belysty,120,new
prousup,arthrol,121,new
forings,fainges,71,new
devivar,materal,108,new
hastems,filisma,102,new
grashin,sounano,65,new
whetesi,dolsimp,131,new
slanoth,rembrob,114,new
devervi,delpith,62,new
anceste,becadev,147,new
nothrog,varketa,55,new
togriva,montems,60,new
servica,ausenus,51,new
proundi,exturea,89,new
partify,arthrol,93,new
proundi,weastin,106,new
avelian,togriva,58,new
whetesi,groctsi,116,new
dolsimp,strewri,150,new
premser,togriva,68,new
slanoth,devivar,109,new
deffent,larlize,84,new
somersi,pranomp,97,new
trinche,larlize,100,new
anottac,wiligna,140,new
