stringA,stringB,itemNumber,type
sounano,posiver,18,original
anottac,morying,42,original
nothrog,montsim,11,original
materal,wiligna,30,original
trinche,advical,36,original
vernion,gramile,15,original
somersi,larlize,23,original
thervil,howinge,3,original
deffent,specity,17,original
strewri,forings,27,original
slanoth,pervica,29,original
sectori,belysty,39,original
pargest,servica,4,original
systina,clarral,14,original
englita,commedi,26,original
fainges,benervi,1,original
arcents,pranomp,40,original
telcout,jusessa,20,original
slannet,probble,44,original
anceste,bollyze,49,original
premser,groctsi,10,original
engstin,filisma,31,original
clester,dolsimp,41,original
pertice,proundi,33,original
hastems,pachang,34,original
suppopp,tatinse,50,original
shouges,anathly,5,original
raddreg,lifinta,6,original
suprega,refends,28,original
suption,montems,12,original
rembrob,weastin,38,original
prounds,rousent,35,original
togriva,worinta,21,original
becadev,howseri,22,original
limanol,exturea,16,original
devivar,mestins,32,original
suprovi,whetesi,45,original
thregul,avelian,13,original
grashin,delpith,2,original
throdyn,ausenus,8,original
himumma,anotain,46,original
fityrud,sersice,43,original
qualrev,meentra,47,original
prousup,tessina,48,original
devervi,dessaga,19,original
partify,pritent,37,original
sanybon,incleas,25,original
varketa,throuss,9,original
shoureg,domeave,7,original
moutlem,arthrol,24,original
himumma,arthrol,144,new
wiligna,pritent,105,new
clester,morying,122,new
mestins,wiligna,94,new
fityrud,rousent,148,new
whetesi,servica,97,new
somersi,shouges,65,new
qualrev,whetesi,126,new
varketa,trinche,82,new
howseri,shouges,78,new
rousent,prousup,145,new
suprovi,throuss,104,new
thregul,premser,61,new
hastems,suprovi,140,new
partify,avelian,101,new
bollyze,arcents,130,new
fainges,clarral,56,new
weastin,pachang,135,new
larlize,tatinse,137,new
sersice,bollyze,125,new
wiligna,refends,92,new
thervil,sanybon,64,new
materal,dolsimp,131,new
arthrol,throdyn,53,new
clarral,avelian,63,new
ausenus,limanol,52,new
mestins,grashin,69,new
sounano,raddreg,59,new
somersi,prousup,134,new
whetesi,groctsi,102,new
fityrud,howseri,114,new
avelian,specity,66,new
larlize,pertice,115,new
pervica,englita,116,new
ausenus,becadev,73,new
howinge,howseri,62,new
montsim,pargest,74,new
delpith,shouges,71,new
filisma,pritent,91,new
suption,systina,72,new
dessaga,proundi,85,new
pervica,lifinta,83,new
fityrud,materal,123,new
himumma,refends,127,new
togriva,lifinta,76,new
worinta,prousup,128,new
himumma,domeave,108,new
filisma,clester,119,new
premser,suprovi,93,new
suprega,pritent,98,new
pranomp,arcents,146,new
sectori,qualrev,121,new
sanybon,anathly,68,new
groctsi,howseri,75,new
montems,commedi,86,new
sersice,suption,118,new
varketa,telcout,57,new
suprovi,refends,124,new
nothrog,larlize,79,new
morying,worinta,112,new
mestins,partify,106,new
benervi,vernion,77,new
suprovi,trinche,133,new
rembrob,engstin,103,new
larlize,delpith,60,new
suption,anotain,113,new
anotain,rembrob,139,new
thervil,shouges,54,new
howinge,anotain,100,new
arthrol,pervica,84,new
rousent,pranomp,141,new
dessaga,bollyze,129,new
worinta,pranomp,109,new
weastin,raddreg,88,new
nothrog,posiver,67,new
hastems,benervi,58,new
dessaga,probble,117,new
togriva,telcout,81,new
rembrob,exturea,120,new
materal,qualrev,143,new
tatinse,becadev,138,new
bollyze,lifinta,147,new
weastin,wiligna,95,new
grashin,strewri,80,new
shoureg,avelian,51,new
jusessa,pertice,89,new
premser,dolsimp,110,new
slanoth,bollyze,132,new
montsim,ausenus,70,new
forings,anotain,150,new
qualrev,pargest,99,new
pertice,limanol,90,new
lifinta,pachang,87,new
proundi,arthrol,96,new
montems,prousup,136,new
refends,varketa,55,new
bollyze,anathly,142,new
ausenus,probble,107,new
qualrev,anathly,111,new
slanoth,morying,149,new
