stringA,stringB,itemNumber,type
messago,numersi,3,original
systess,wilysta,25,original
angessa,dockles,31,original
crivere,uranged,12,original
retsits,howaymb,48,original
screnta,prompan,40,original
edisted,quarban,46,original
amatera,finglam,44,original
tueredo,proffin,42,original
agallea,strompa,13,original
wessish,betwerv,18,original
tessigg,comorti,1,original
opelese,quingel,45,original
forsith,defasom,8,original
plareed,throvic,20,original
pariono,abysted,11,original
thramon,shaptur,17,original
hignoth,mempise,9,original
afrithe,prothly,34,original
kentsia,locidev,27,original
smadian,dispont,2,original
walthel,allopti,10,original
ancessa,digiday,39,original
thinatu,commari,30,original
asplati,iningla,7,original
dakinge,mesimie,23,original
expisho,mesterf,26,original
gremsev,cortsio,24,original
webruic,segessa,41,original
witypro,talisti,38,original
vervide,relysta,19,original
engally,splenne,28,original
subvick,octeste,50,original
mervirs,sersimi,21,original
allysti,spanoth,15,original
clopect,caltsio,16,original
bomysta,chertin,36,original
currimi,memsere,37,original
proffic,nathess,47,original
chanywa,prensta,32,original
micaust,ostallo,22,original
grappor,mestead,43,original
disingu,perecti,33,original
articlu,loarlai,14,original
menclar,scrunne,5,original
supplic,heashes,49,original
larshic,persica,6,original
maricts,bengsta,4,original
rundsop,mesects,35,original
compide,sertsim,29,original
numersi,spanoth,63,new
ancessa,strompa,83,new
allopti,octeste,141,new
uranged,opelese,92,new
currimi,wessish,108,new
throvic,scrunne,62,new
edisted,maricts,111,new
crivere,mempise,76,new
defasom,plareed,58,new
mesimie,witypro,109,new
expisho,hignoth,77,new
caltsio,digiday,118,new
octeste,iningla,127,new
engally,asplati,52,new
wessish,proffic,121,new
proffin,messago,110,new
pariono,vervide,69,new
proffic,octeste,150,new
mesimie,articlu,55,new
loarlai,gremsev,90,new
proffin,systess,91,new
locidev,chertin,107,new
engally,octeste,126,new
segessa,expisho,105,new
forsith,webruic,106,new
larshic,thinatu,75,new
cortsio,chanywa,101,new
tueredo,larshic,89,new
afrithe,prothly,114,new
vervide,screnta,113,new
forsith,gremsev,56,new
systess,supplic,129,new
finglam,mesimie,128,new
angessa,quarban,138,new
edisted,currimi,137,new
nathess,compide,133,new
wilysta,hignoth,57,new
quarban,chertin,139,new
pariono,chanywa,84,new
grappor,crivere,116,new
allopti,hignoth,61,new
messago,larshic,66,new
shaptur,edisted,115,new
segessa,mervirs,100,new
digiday,edisted,123,new
webruic,wessish,97,new
walthel,mervirs,78,new
sertsim,webruic,135,new
loarlai,mervirs,59,new
quingel,asplati,119,new
caltsio,mempise,70,new
betwerv,perecti,88,new
witypro,asplati,86,new
scrunne,strompa,60,new
supplic,ancessa,136,new
webruic,mestead,142,new
throvic,walthel,80,new
mempise,nathess,99,new
commari,splenne,117,new
larshic,bengsta,53,new
shaptur,heashes,134,new
opelese,digiday,125,new
allysti,screnta,96,new
compide,retsits,131,new
mervirs,nathess,140,new
menclar,sertsim,74,new
forsith,prompan,93,new
quarban,bengsta,102,new
persica,subvick,130,new
screnta,engally,120,new
octeste,mempise,122,new
agallea,mervirs,68,new
grappor,chertin,149,new
asplati,comorti,79,new
spanoth,subvick,147,new
perecti,proffic,148,new
clopect,edisted,103,new
perecti,howaymb,144,new
ancessa,quarban,143,new
retsits,currimi,132,new
messago,grappor,94,new
screnta,rundsop,124,new
menclar,edisted,95,new
iningla,thramon,72,new
persica,betwerv,51,new
prensta,expisho,98,new
gremsev,cortsio,81,new
articlu,sersimi,64,new
prensta,betwerv,82,new
allopti,sertsim,85,new
chanywa,sersimi,87,new
dispont,prensta,71,new
iningla,hignoth,73,new
tessigg,dakinge,67,new
grappor,octeste,146,new
spanoth,uranged,65,new
mestead,betwerv,104,new
asplati,wilysta,54,new
howaymb,segessa,145,new
perecti,commari,112,new
