stringA,stringB,itemNumber,type
retsits,howaymb,48,original
mesterf,expisho,26,original
screnta,prompan,40,original
smadian,dispont,2,original
scrunne,menclar,5,original
thinatu,commari,30,original
angessa,dockles,31,original
mesects,rundsop,35,original
relysta,vervide,19,original
bengsta,maricts,4,original
hignoth,mempise,9,original
amatera,finglam,44,original
edisted,quarban,46,original
cortsio,gremsev,24,original
agallea,strompa,13,original
spanoth,allysti,15,original
sersimi,mervirs,21,original
chertin,bomysta,36,original
mesimie,dakinge,23,original
segessa,webruic,41,original
opelese,quingel,45,original
walthel,allopti,10,original
kentsia,locidev,27,original
plareed,throvic,20,original
afrithe,prothly,34,original
betwerv,wessish,18,original
uranged,crivere,12,original
chanywa,prensta,32,original
larshic,persica,6,original
wilysta,systess,25,original
witypro,talisti,38,original
disingu,perecti,33,original
proffin,tueredo,42,original
abysted,pariono,11,original
iningla,asplati,7,original
grappor,mestead,43,original
subvick,octeste,50,original
defasom,forsith,8,original
compide,sertsim,29,original
supplic,heashes,49,original
currimi,memsere,37,original
engally,splenne,28,original
shaptur,thramon,17,original
digiday,ancessa,39,original
numersi,messago,3,original
micaust,ostallo,22,original
articlu,loarlai,14,original
comorti,tessigg,1,original
proffic,nathess,47,original
clopect,caltsio,16,original
prothly,tessigg,87,new
howaymb,asplati,146,new
tueredo,howaymb,141,new
prensta,finglam,136,new
chertin,proffin,121,new
tessigg,uranged,59,new
maricts,hignoth,63,new
proffin,nathess,139,new
nathess,dockles,131,new
scrunne,quarban,112,new
menclar,edisted,105,new
webruic,messago,89,new
vervide,tessigg,69,new
mesects,commari,94,new
ostallo,comorti,68,new
afrithe,compide,102,new
opelese,maricts,98,new
scrunne,prothly,85,new
ancessa,howaymb,125,new
dakinge,amatera,109,new
asplati,subvick,129,new
commari,ancessa,92,new
subvick,hignoth,147,new
cortsio,clopect,86,new
mesects,engally,115,new
shaptur,asplati,72,new
tueredo,strompa,111,new
bomysta,kentsia,93,new
shaptur,scrunne,80,new
subvick,memsere,122,new
heashes,micaust,134,new
prensta,quarban,143,new
proffic,afrithe,149,new
abysted,mesterf,65,new
betwerv,smadian,64,new
thinatu,webruic,148,new
dakinge,hignoth,52,new
walthel,betwerv,51,new
perecti,howaymb,123,new
segessa,gremsev,110,new
micaust,persica,73,new
maricts,crivere,53,new
chertin,expisho,120,new
expisho,smadian,75,new
comorti,mesterf,74,new
howaymb,segessa,130,new
octeste,disingu,135,new
prompan,loarlai,113,new
dispont,plareed,70,new
numersi,agallea,78,new
angessa,dispont,60,new
chertin,bomysta,132,new
perecti,shaptur,88,new
mestead,maricts,83,new
quarban,walthel,101,new
shaptur,crivere,58,new
systess,gremsev,81,new
wessish,mempise,54,new
ancessa,micaust,106,new
thinatu,gremsev,84,new
mesects,grappor,142,new
dockles,cortsio,118,new
menclar,splenne,61,new
uranged,hignoth,62,new
tueredo,proffin,124,new
chanywa,chertin,91,new
nathess,webruic,138,new
webruic,octeste,150,new
octeste,clopect,145,new
commari,mestead,126,new
plareed,witypro,107,new
wilysta,talisti,103,new
angessa,allopti,90,new
spanoth,uranged,56,new
allysti,asplati,79,new
bengsta,locidev,76,new
micaust,perecti,96,new
prompan,kentsia,119,new
messago,shaptur,67,new
mesterf,clopect,82,new
angessa,witypro,114,new
quarban,relysta,140,new
webruic,mesterf,99,new
wessish,prompan,95,new
allopti,agallea,55,new
hignoth,clopect,71,new
mesects,gremsev,117,new
bomysta,mestead,133,new
abysted,edisted,104,new
larshic,retsits,116,new
screnta,vervide,108,new
rundsop,cortsio,97,new
crivere,mervirs,66,new
dispont,ostallo,77,new
articlu,octeste,128,new
disingu,screnta,127,new
quingel,sertsim,137,new
chertin,subvick,144,new
caltsio,larshic,57,new
finglam,loarlai,100,new
