stringA,stringB,itemNumber,type
howseri,becadev,22,original
anceste,bollyze,49,original
rousent,prounds,35,original
exturea,limanol,16,original
arthrol,moutlem,24,original
systina,clarral,14,original
delpith,grashin,2,original
hastems,pachang,34,original
strewri,forings,27,original
arcents,pranomp,40,original
refends,suprega,28,original
mestins,devivar,32,original
lifinta,raddreg,6,original
sounano,posiver,18,original
materal,wiligna,30,original
worinta,togriva,21,original
pargest,servica,4,original
engstin,filisma,31,original
clester,dolsimp,41,original
whetesi,suprovi,45,original
dessaga,devervi,19,original
pritent,partify,37,original
slannet,probble,44,original
slanoth,pervica,29,original
deffent,specity,17,original
shouges,anathly,5,original
suption,montems,12,original
thregul,avelian,13,original
sanybon,incleas,25,original
proundi,pertice,33,original
throdyn,ausenus,8,original
groctsi,premser,10,original
gramile,vernion,15,original
prousup,tessina,48,original
morying,anottac,42,original
benervi,fainges,1,original
howinge,thervil,3,original
montsim,nothrog,11,original
larlize,somersi,23,original
himumma,anotain,46,original
rembrob,weastin,38,original
advical,trinche,36,original
belysty,sectori,39,original
shoureg,domeave,7,original
fityrud,sersice,43,original
jusessa,telcout,20,original
varketa,throuss,9,original
commedi,englita,26,original
suppopp,tatinse,50,original
qualrev,meentra,47,original
hastems,limanol,86,new
sersice,posiver,92,new
throdyn,anceste,94,new
pachang,incleas,99,new
pervica,anotain,133,new
clester,himumma,129,new
partify,hastems,107,new
advical,arcents,126,new
rembrob,telcout,116,new
materal,larlize,88,new
dessaga,servica,63,new
raddreg,worinta,62,new
nothrog,throdyn,52,new
whetesi,limanol,117,new
dolsimp,hastems,131,new
arcents,becadev,101,new
rembrob,worinta,91,new
howinge,arthrol,51,new
jusessa,slanoth,81,new
benervi,refends,78,new
limanol,ausenus,79,new
pachang,dessaga,102,new
anotain,varketa,110,new
systina,grashin,71,new
telcout,advical,113,new
meentra,raddreg,118,new
materal,pachang,108,new
anathly,shouges,75,new
engstin,probble,138,new
throdyn,delpith,73,new
morying,deffent,112,new
rousent,fityrud,128,new
proundi,sounano,90,new
morying,worinta,103,new
arthrol,pachang,115,new
sounano,himumma,150,new
howseri,thregul,53,new
benervi,pertice,70,new
clarral,somersi,80,new
togriva,materal,85,new
delpith,varketa,58,new
pertice,prousup,141,new
arthrol,himumma,127,new
lifinta,howinge,55,new
domeave,forings,66,new
pervica,tessina,137,new
deffent,howinge,54,new
lifinta,fityrud,106,new
shoureg,meentra,114,new
exturea,grashin,64,new
tessina,commedi,130,new
clarral,deffent,72,new
pervica,meentra,147,new
montsim,whetesi,95,new
exturea,belysty,97,new
benervi,pargest,57,new
engstin,groctsi,89,new
pritent,suprega,105,new
partify,incleas,96,new
devivar,avelian,83,new
togriva,ausenus,69,new
mestins,morying,125,new
servica,worinta,59,new
proundi,whetesi,134,new
fityrud,throuss,119,new
benervi,slannet,87,new
himumma,somersi,149,new
pachang,sectori,122,new
anceste,filisma,143,new
suption,vernion,67,new
tatinse,wiligna,139,new
delpith,himumma,104,new
belysty,whetesi,140,new
himumma,anotain,123,new
engstin,partify,109,new
belysty,somersi,111,new
thervil,forings,60,new
avelian,morying,93,new
howinge,premser,77,new
tatinse,howinge,144,new
throdyn,arthrol,68,new
exturea,prousup,136,new
raddreg,materal,61,new
rousent,grashin,84,new
moutlem,anathly,76,new
slanoth,clarral,82,new
clester,rembrob,145,new
pervica,thervil,74,new
exturea,suprovi,120,new
worinta,varketa,56,new
ausenus,qualrev,135,new
suppopp,thervil,124,new
belysty,arthrol,98,new
meentra,morying,132,new
domeave,groctsi,65,new
prousup,anottac,142,new
tatinse,suppopp,146,new
trinche,rembrob,121,new
filisma,rousent,100,new
prounds,anceste,148,new
