stringA,stringB,itemNumber,type
heashes,supplic,49,original
sertsim,compide,29,original
scrunne,menclar,5,original
kentsia,locidev,27,original
angessa,dockles,31,original
chertin,bomysta,36,original
screnta,prompan,40,original
perecti,disingu,33,original
persica,larshic,6,original
talisti,witypro,38,original
splenne,engally,28,original
mesimie,dakinge,23,original
caltsio,clopect,16,original
memsere,currimi,37,original
thinatu,commari,30,original
thramon,shaptur,17,original
wessish,betwerv,18,original
asplati,iningla,7,original
segessa,webruic,41,original
messago,numersi,3,original
forsith,defasom,8,original
prensta,chanywa,32,original
mestead,grappor,43,original
systess,wilysta,25,original
octeste,subvick,50,original
dispont,smadian,2,original
allysti,spanoth,15,original
howaymb,retsits,48,original
strompa,agallea,13,original
gremsev,cortsio,24,original
maricts,bengsta,4,original
proffic,nathess,47,original
finglam,amatera,44,original
proffin,tueredo,42,original
digiday,ancessa,39,original
abysted,pariono,11,original
mervirs,sersimi,21,original
expisho,mesterf,26,original
uranged,crivere,12,original
quarban,edisted,46,original
rundsop,mesects,35,original
articlu,loarlai,14,original
throvic,plareed,20,original
mempise,hignoth,9,original
prothly,afrithe,34,original
allopti,walthel,10,original
comorti,tessigg,1,original
micaust,ostallo,22,original
quingel,opelese,45,original
vervide,relysta,19,original
throvic,scrunne,65,new
allopti,sersimi,55,new
prensta,rundsop,93,new
comorti,smadian,53,new
maricts,loarlai,71,new
prothly,screnta,122,new
shaptur,caltsio,79,new
quarban,bengsta,109,new
engally,nathess,136,new
expisho,amatera,116,new
amatera,proffin,138,new
persica,bomysta,89,new
asplati,allysti,75,new
compide,afrithe,101,new
thinatu,witypro,102,new
mesterf,abysted,52,new
tueredo,compide,106,new
opelese,numersi,105,new
tueredo,engally,115,new
spanoth,proffic,135,new
splenne,larshic,60,new
finglam,systess,139,new
mesterf,iningla,76,new
numersi,walthel,61,new
sertsim,quingel,130,new
messago,maricts,56,new
currimi,afrithe,118,new
mestead,dockles,149,new
edisted,quingel,150,new
comorti,plareed,80,new
wilysta,forsith,51,new
bomysta,screnta,144,new
digiday,nathess,128,new
currimi,amatera,134,new
persica,grappor,117,new
articlu,segessa,108,new
subvick,tueredo,141,new
persica,quarban,94,new
thramon,defasom,64,new
bengsta,mervirs,62,new
proffin,spanoth,91,new
disingu,tessigg,90,new
larshic,chertin,88,new
cortsio,subvick,146,new
webruic,agallea,112,new
wilysta,amatera,92,new
compide,mesterf,96,new
dakinge,mestead,103,new
perecti,abysted,86,new
sersimi,allysti,54,new
asplati,engally,70,new
dockles,perecti,114,new
commari,asplati,87,new
angessa,numersi,74,new
spanoth,finglam,120,new
edisted,expisho,142,new
perecti,allopti,83,new
strompa,nathess,99,new
persica,numersi,78,new
nathess,allysti,98,new
quarban,opelese,121,new
wessish,quarban,133,new
maricts,octeste,127,new
digiday,walthel,97,new
compide,talisti,113,new
crivere,shaptur,72,new
loarlai,defasom,59,new
heashes,rundsop,140,new
commari,forsith,82,new
asplati,maricts,68,new
finglam,bengsta,111,new
pariono,articlu,73,new
larshic,mesimie,58,new
tueredo,proffin,123,new
grappor,walthel,100,new
menclar,messago,69,new
caltsio,proffin,110,new
proffic,forsith,125,new
pariono,strompa,67,new
octeste,betwerv,132,new
locidev,hignoth,81,new
throvic,talisti,95,new
octeste,wilysta,145,new
tueredo,supplic,148,new
commari,tessigg,66,new
maricts,ostallo,63,new
kentsia,allopti,77,new
relysta,chanywa,85,new
segessa,grappor,129,new
bomysta,octeste,147,new
mempise,smadian,57,new
octeste,mervirs,126,new
retsits,subvick,124,new
supplic,sersimi,143,new
disingu,mesimie,104,new
angessa,mempise,84,new
edisted,dispont,119,new
octeste,defasom,131,new
proffin,sersimi,107,new
witypro,perecti,137,new
