stringA,stringB,itemNumber,type
tessigg,comorti,1,original
plareed,throvic,20,original
scrunne,menclar,5,original
chertin,bomysta,36,original
mesimie,dakinge,23,original
asplati,iningla,7,original
thinatu,commari,30,original
hignoth,mempise,9,original
caltsio,clopect,16,original
opelese,quingel,45,original
amatera,finglam,44,original
angessa,dockles,31,original
mestead,grappor,43,original
memsere,currimi,37,original
systess,wilysta,25,original
mesects,rundsop,35,original
wessish,betwerv,18,original
mesterf,expisho,26,original
thramon,shaptur,17,original
kentsia,locidev,27,original
crivere,uranged,12,original
loarlai,articlu,14,original
ancessa,digiday,39,original
octeste,subvick,50,original
splenne,engally,28,original
disingu,perecti,33,original
chanywa,prensta,32,original
prothly,afrithe,34,original
strompa,agallea,13,original
allopti,walthel,10,original
dispont,smadian,2,original
micaust,ostallo,22,original
witypro,talisti,38,original
maricts,bengsta,4,original
vervide,relysta,19,original
allysti,spanoth,15,original
gremsev,cortsio,24,original
larshic,persica,6,original
webruic,segessa,41,original
supplic,heashes,49,original
howaymb,retsits,48,original
prompan,screnta,40,original
quarban,edisted,46,original
proffin,tueredo,42,original
proffic,nathess,47,original
compide,sertsim,29,original
numersi,messago,3,original
abysted,pariono,11,original
defasom,forsith,8,original
mervirs,sersimi,21,original
commari,systess,98,new
tueredo,disingu,130,new
witypro,agallea,93,new
amatera,wilysta,96,new
edisted,iningla,117,new
currimi,thramon,113,new
angessa,maricts,60,new
digiday,spanoth,110,new
sersimi,currimi,112,new
witypro,nathess,148,new
expisho,octeste,147,new
asplati,strompa,68,new
memsere,proffic,140,new
retsits,engally,137,new
quingel,angessa,125,new
dakinge,retsits,128,new
mesterf,subvick,139,new
splenne,comorti,73,new
finglam,sersimi,135,new
allopti,octeste,124,new
prensta,rundsop,104,new
systess,dispont,63,new
memsere,compide,92,new
afrithe,gremsev,94,new
tessigg,dockles,52,new
scrunne,strompa,70,new
prompan,octeste,144,new
micaust,edisted,123,new
numersi,plareed,53,new
splenne,vervide,84,new
uranged,segessa,101,new
finglam,pariono,108,new
walthel,proffic,127,new
vervide,smadian,65,new
tueredo,gremsev,100,new
perecti,dockles,97,new
strompa,caltsio,78,new
kentsia,defasom,79,new
mempise,ostallo,74,new
systess,finglam,149,new
nathess,mervirs,143,new
wessish,allysti,69,new
relysta,maricts,75,new
smadian,mervirs,72,new
articlu,pariono,71,new
prothly,chertin,95,new
dakinge,tueredo,106,new
witypro,screnta,132,new
finglam,spanoth,109,new
opelese,maricts,115,new
numersi,caltsio,77,new
proffic,crivere,126,new
hignoth,maricts,66,new
walthel,abysted,58,new
finglam,opelese,141,new
iningla,sersimi,59,new
mervirs,tessigg,61,new
chertin,gremsev,120,new
clopect,segessa,103,new
loarlai,defasom,62,new
wilysta,screnta,107,new
chertin,menclar,81,new
rundsop,talisti,136,new
shaptur,mesimie,82,new
heashes,menclar,119,new
persica,gremsev,57,new
maricts,forsith,51,new
asplati,disingu,89,new
amatera,webruic,150,new
persica,disingu,83,new
finglam,sertsim,133,new
subvick,hignoth,146,new
bomysta,screnta,122,new
micaust,mesterf,87,new
thinatu,dispont,67,new
engally,systess,86,new
asplati,subvick,129,new
howaymb,nathess,145,new
asplati,mempise,64,new
shaptur,plareed,55,new
systess,numersi,80,new
prompan,sertsim,131,new
persica,howaymb,121,new
rundsop,mesects,105,new
pariono,prompan,91,new
amatera,prothly,134,new
quingel,plareed,138,new
caltsio,quingel,114,new
plareed,currimi,118,new
throvic,memsere,99,new
messago,clopect,56,new
locidev,messago,54,new
chanywa,relysta,90,new
grappor,segessa,142,new
locidev,memsere,111,new
messago,digiday,85,new
amatera,larshic,102,new
walthel,shaptur,76,new
allysti,afrithe,88,new
engally,mesects,116,new
