stringA,stringB,itemNumber,type
systina,clarral,14,original
mestins,devivar,32,original
englita,commedi,26,original
thervil,howinge,3,original
whetesi,suprovi,45,original
worinta,togriva,21,original
engstin,filisma,31,original
exturea,limanol,16,original
weastin,rembrob,38,original
anceste,bollyze,49,original
pritent,partify,37,original
pargest,servica,4,original
sectori,belysty,39,original
lifinta,raddreg,6,original
sersice,fityrud,43,original
incleas,sanybon,25,original
fainges,benervi,1,original
strewri,forings,27,original
meentra,qualrev,47,original
anathly,shouges,5,original
anotain,himumma,46,original
trinche,advical,36,original
dessaga,devervi,19,original
refends,suprega,28,original
delpith,grashin,2,original
prounds,rousent,35,original
groctsi,premser,10,original
shoureg,domeave,7,original
probble,slannet,44,original
proundi,pertice,33,original
jusessa,telcout,20,original
suption,montems,12,original
suppopp,tatinse,50,original
becadev,howseri,22,original
montsim,nothrog,11,original
moutlem,arthrol,24,original
wiligna,materal,30,original
larlize,somersi,23,original
specity,deffent,17,original
pervica,slanoth,29,original
dolsimp,clester,41,original
pranomp,arcents,40,original
throdyn,ausenus,8,original
pachang,hastems,34,original
posiver,sounano,18,original
gramile,vernion,15,original
thregul,avelian,13,original
prousup,tessina,48,original
morying,anottac,42,original
varketa,throuss,9,original
suption,fainges,52,new
filisma,pritent,94,new
somersi,montsim,70,new
trinche,suption,81,new
belysty,hastems,124,new
jusessa,fainges,60,new
prounds,incleas,105,new
shoureg,mestins,87,new
thregul,delpith,58,new
pachang,rousent,91,new
tessina,limanol,129,new
suprovi,arthrol,143,new
devivar,materal,102,new
anottac,morying,141,new
advical,arthrol,117,new
devervi,sounano,78,new
howseri,benervi,67,new
throuss,sanybon,62,new
pachang,sectori,142,new
throuss,thregul,74,new
becadev,materal,86,new
howseri,suption,53,new
fityrud,clester,149,new
rembrob,somersi,109,new
avelian,montsim,77,new
pranomp,worinta,110,new
becadev,systina,66,new
trinche,servica,84,new
limanol,arcents,116,new
sersice,montsim,95,new
suprega,somersi,88,new
rousent,sanybon,104,new
devervi,pertice,89,new
larlize,anceste,138,new
suprovi,slannet,147,new
engstin,himumma,125,new
meentra,advical,132,new
anotain,posiver,114,new
sersice,limanol,100,new
lifinta,suption,68,new
advical,materal,98,new
clester,proundi,134,new
arcents,pervica,96,new
throdyn,howseri,59,new
prousup,pritent,150,new
fityrud,tessina,137,new
weastin,moutlem,106,new
pargest,groctsi,75,new
clester,filisma,108,new
slanoth,wiligna,93,new
sanybon,deffent,90,new
telcout,raddreg,76,new
howinge,ausenus,72,new
posiver,sounano,57,new
shouges,arthrol,51,new
telcout,qualrev,128,new
partify,arcents,127,new
clarral,anotain,101,new
fityrud,premser,103,new
grashin,pertice,65,new
servica,premser,64,new
wiligna,anceste,126,new
larlize,hastems,97,new
pargest,posiver,56,new
qualrev,pargest,120,new
posiver,avelian,79,new
tessina,suprovi,145,new
engstin,prousup,136,new
arthrol,moutlem,83,new
belysty,tatinse,140,new
delpith,shoureg,69,new
fainges,throdyn,55,new
sounano,dolsimp,113,new
deffent,suprovi,121,new
togriva,anottac,118,new
montsim,ausenus,61,new
refends,howinge,63,new
pargest,montsim,71,new
sounano,benervi,73,new
pranomp,throuss,99,new
strewri,filisma,107,new
qualrev,clester,148,new
anotain,qualrev,144,new
refends,throdyn,80,new
engstin,morying,139,new
anceste,gramile,122,new
systina,pranomp,111,new
mestins,bollyze,133,new
whetesi,howinge,115,new
tessina,morying,130,new
becadev,tatinse,123,new
sanybon,dessaga,82,new
filisma,tatinse,135,new
engstin,sanybon,92,new
howseri,raddreg,54,new
premser,bollyze,131,new
dolsimp,rousent,146,new
meentra,posiver,112,new
devervi,englita,85,new
pritent,moutlem,119,new
