stringA,stringB,itemNumber,type
anathly,shouges,5,original
mestins,devivar,32,original
vernion,gramile,15,original
arcents,pranomp,40,original
rousent,prounds,35,original
slanoth,pervica,29,original
lifinta,raddreg,6,original
thervil,howinge,3,original
avelian,thregul,13,original
systina,clarral,14,original
deffent,specity,17,original
strewri,forings,27,original
somersi,larlize,23,original
delpith,grashin,2,original
hastems,pachang,34,original
trinche,advical,36,original
pertice,proundi,33,original
refends,suprega,28,original
anottac,morying,42,original
pritent,partify,37,original
englita,commedi,26,original
telcout,jusessa,20,original
exturea,limanol,16,original
clester,dolsimp,41,original
whetesi,suprovi,45,original
qualrev,meentra,47,original
groctsi,premser,10,original
prousup,tessina,48,original
posiver,sounano,18,original
benervi,fainges,1,original
wiligna,materal,30,original
fityrud,sersice,43,original
devervi,dessaga,19,original
moutlem,arthrol,24,original
bollyze,anceste,49,original
montsim,nothrog,11,original
suption,montems,12,original
throdyn,ausenus,8,original
servica,pargest,4,original
togriva,worinta,21,original
becadev,howseri,22,original
sanybon,incleas,25,original
probble,slannet,44,original
rembrob,weastin,38,original
himumma,anotain,46,original
filisma,engstin,31,original
varketa,throuss,9,original
shoureg,domeave,7,original
suppopp,tatinse,50,original
belysty,sectori,39,original
meentra,himumma,124,new
prounds,arthrol,114,new
hastems,grashin,83,new
somersi,servica,58,new
shouges,incleas,80,new
shoureg,throuss,59,new
arthrol,morying,101,new
lifinta,prousup,134,new
raddreg,tatinse,135,new
domeave,pervica,86,new
deffent,grashin,73,new
jusessa,somersi,85,new
pachang,whetesi,140,new
domeave,becadev,69,new
belysty,avelian,104,new
thervil,shoureg,75,new
proundi,pritent,106,new
morying,nothrog,97,new
pachang,hastems,93,new
delpith,shoureg,62,new
arcents,probble,126,new
systina,shouges,78,new
delpith,clarral,66,new
lifinta,benervi,70,new
limanol,sectori,109,new
thervil,suppopp,137,new
delpith,pranomp,89,new
howinge,anotain,103,new
tessina,belysty,149,new
incleas,benervi,77,new
rousent,suprega,116,new
refends,montsim,90,new
becadev,tessina,123,new
fityrud,materal,144,new
anotain,prounds,132,new
tatinse,morying,143,new
whetesi,throdyn,119,new
proundi,worinta,107,new
tessina,groctsi,115,new
howseri,rembrob,117,new
thregul,sersice,95,new
raddreg,incleas,74,new
bollyze,weastin,129,new
montsim,tatinse,141,new
prousup,howseri,146,new
dolsimp,incleas,112,new
bollyze,hastems,130,new
materal,dolsimp,145,new
clarral,weastin,87,new
anathly,thregul,57,new
nothrog,grashin,53,new
fainges,servica,65,new
howseri,jusessa,88,new
servica,englita,52,new
suppopp,nothrog,147,new
slannet,devivar,131,new
throdyn,englita,71,new
rousent,probble,138,new
posiver,slannet,102,new
thervil,sanybon,55,new
morying,clester,122,new
worinta,fityrud,98,new
slanoth,advical,105,new
larlize,anceste,139,new
rembrob,dessaga,99,new
howinge,avelian,68,new
anotain,shoureg,91,new
englita,togriva,84,new
pargest,suppopp,148,new
avelian,throdyn,76,new
proundi,engstin,96,new
tatinse,larlize,133,new
thervil,limanol,54,new
clarral,engstin,81,new
incleas,qualrev,125,new
gramile,slannet,110,new
premser,jusessa,79,new
togriva,rousent,108,new
filisma,arcents,111,new
becadev,weastin,120,new
ausenus,morying,94,new
domeave,devivar,82,new
limanol,throuss,61,new
raddreg,worinta,56,new
devivar,weastin,118,new
commedi,pritent,100,new
suppopp,anotain,127,new
thregul,somersi,64,new
gramile,nothrog,51,new
premser,clarral,72,new
shouges,tatinse,128,new
sanybon,engstin,92,new
pranomp,sectori,136,new
slannet,probble,142,new
pachang,strewri,113,new
shoureg,exturea,63,new
benervi,slanoth,60,new
refends,prousup,121,new
anceste,suprovi,150,new
slanoth,raddreg,67,new
