stringA,stringB,itemNumber,type
fainges,benervi,1,original
nothrog,montsim,11,original
telcout,jusessa,20,original
arthrol,moutlem,24,original
systina,clarral,14,original
anathly,shouges,5,original
meentra,qualrev,47,original
anotain,himumma,46,original
pargest,servica,4,original
whetesi,suprovi,45,original
sectori,belysty,39,original
dessaga,devervi,19,original
incleas,sanybon,25,original
materal,wiligna,30,original
deffent,specity,17,original
refends,suprega,28,original
domeave,shoureg,7,original
premser,groctsi,10,original
anceste,bollyze,49,original
engstin,filisma,31,original
rousent,prounds,35,original
tatinse,suppopp,50,original
ausenus,throdyn,8,original
montems,suption,12,original
vernion,gramile,15,original
fityrud,sersice,43,original
howinge,thervil,3,original
togriva,worinta,21,original
limanol,exturea,16,original
devivar,mestins,32,original
thregul,avelian,13,original
posiver,sounano,18,original
pranomp,arcents,40,original
becadev,howseri,22,original
pachang,hastems,34,original
advical,trinche,36,original
proundi,pertice,33,original
raddreg,lifinta,6,original
probble,slannet,44,original
prousup,tessina,48,original
varketa,throuss,9,original
morying,anottac,42,original
larlize,somersi,23,original
commedi,englita,26,original
partify,pritent,37,original
rembrob,weastin,38,original
grashin,delpith,2,original
forings,strewri,27,original
pervica,slanoth,29,original
dolsimp,clester,41,original
specity,hastems,89,new
ausenus,prousup,131,new
shoureg,exturea,53,new
slannet,thregul,101,new
anceste,pranomp,127,new
clarral,exturea,62,new
tessina,partify,148,new
prousup,mestins,146,new
varketa,meentra,104,new
throuss,togriva,56,new
shouges,telcout,59,new
englita,dolsimp,94,new
premser,suprovi,114,new
suppopp,dessaga,121,new
filisma,materal,98,new
suppopp,montems,138,new
deffent,bollyze,123,new
becadev,arcents,105,new
ausenus,benervi,77,new
deffent,prousup,142,new
morying,worinta,118,new
belysty,englita,107,new
gramile,fainges,79,new
prounds,lifinta,87,new
lifinta,morying,102,new
pargest,wiligna,61,new
benervi,deffent,75,new
pranomp,clester,132,new
arcents,benervi,85,new
thregul,ausenus,66,new
deffent,qualrev,144,new
filisma,pargest,65,new
fityrud,tessina,150,new
wiligna,whetesi,129,new
slanoth,raddreg,52,new
sersice,prounds,139,new
thervil,suprega,74,new
moutlem,anottac,97,new
dolsimp,engstin,145,new
howinge,montems,67,new
shouges,sounano,51,new
premser,grashin,58,new
englita,sanybon,84,new
montems,belysty,120,new
delpith,commedi,80,new
partify,pertice,117,new
benervi,fainges,57,new
morying,vernion,106,new
rousent,bollyze,141,new
varketa,tessina,99,new
anceste,belysty,135,new
tessina,raddreg,115,new
lifinta,shoureg,70,new
probble,montems,112,new
shoureg,strewri,69,new
himumma,delpith,96,new
refends,himumma,134,new
montems,sanybon,90,new
incleas,grashin,73,new
commedi,clester,91,new
incleas,suprovi,143,new
ausenus,limanol,76,new
dessaga,larlize,83,new
partify,whetesi,126,new
strewri,advical,103,new
ausenus,dolsimp,110,new
tatinse,advical,130,new
anceste,prousup,124,new
sectori,bollyze,122,new
pachang,pritent,100,new
rousent,suppopp,147,new
suption,ausenus,54,new
dolsimp,slannet,140,new
togriva,premser,55,new
ausenus,commedi,78,new
shoureg,avelian,72,new
arcents,advical,125,new
premser,pranomp,113,new
clarral,whetesi,92,new
servica,arthrol,68,new
pervica,tatinse,136,new
somersi,prousup,137,new
arthrol,probble,149,new
throuss,rembrob,88,new
jusessa,anceste,133,new
benervi,materal,71,new
groctsi,anceste,128,new
deffent,raddreg,64,new
vernion,devivar,82,new
refends,shouges,63,new
delpith,raddreg,60,new
clarral,tessina,93,new
forings,englita,86,new
shouges,anotain,111,new
togriva,rousent,116,new
advical,hastems,119,new
prounds,rousent,109,new
slannet,groctsi,108,new
tessina,thregul,95,new
throuss,wiligna,81,new
