stringA,stringB,itemNumber,type
bengsta,maricts,4,original
mesterf,expisho,26,original
octeste,subvick,50,original
retsits,howaymb,48,original
talisti,witypro,38,original
walthel,allopti,10,original
segessa,webruic,41,original
crivere,uranged,12,original
screnta,prompan,40,original
afrithe,prothly,34,original
sersimi,mervirs,21,original
ostallo,micaust,22,original
systess,wilysta,25,original
angessa,dockles,31,original
persica,larshic,6,original
memsere,currimi,37,original
mesimie,dakinge,23,original
edisted,quarban,46,original
prensta,chanywa,32,original
messago,numersi,3,original
amatera,finglam,44,original
mesects,rundsop,35,original
thramon,shaptur,17,original
hignoth,mempise,9,original
cortsio,gremsev,24,original
clopect,caltsio,16,original
supplic,heashes,49,original
digiday,ancessa,39,original
proffic,nathess,47,original
bomysta,chertin,36,original
abysted,pariono,11,original
defasom,forsith,8,original
compide,sertsim,29,original
engally,splenne,28,original
comorti,tessigg,1,original
commari,thinatu,30,original
iningla,asplati,7,original
disingu,perecti,33,original
strompa,agallea,13,original
menclar,scrunne,5,original
betwerv,wessish,18,original
throvic,plareed,20,original
dispont,smadian,2,original
vervide,relysta,19,original
articlu,loarlai,14,original
grappor,mestead,43,original
locidev,kentsia,27,original
quingel,opelese,45,original
proffin,tueredo,42,original
allysti,spanoth,15,original
mesects,disingu,91,new
mesterf,allysti,84,new
perecti,comorti,69,new
gremsev,mestead,108,new
micaust,mesects,110,new
bomysta,pariono,89,new
maricts,forsith,57,new
smadian,micaust,68,new
agallea,abysted,54,new
afrithe,comorti,77,new
digiday,ostallo,107,new
maricts,thramon,70,new
octeste,allopti,143,new
chanywa,afrithe,100,new
ancessa,commari,93,new
chanywa,prensta,99,new
defasom,systess,58,new
messago,allopti,73,new
memsere,prothly,114,new
octeste,wilysta,146,new
micaust,hignoth,59,new
hignoth,mempise,79,new
disingu,ancessa,111,new
shaptur,scrunne,52,new
scrunne,howaymb,124,new
tueredo,supplic,150,new
compide,kentsia,105,new
heashes,vervide,138,new
dakinge,screnta,119,new
tueredo,gremsev,116,new
prensta,locidev,104,new
engally,bengsta,76,new
dockles,relysta,86,new
segessa,allopti,90,new
chertin,commari,95,new
quingel,spanoth,118,new
caltsio,howaymb,139,new
dockles,prensta,102,new
tessigg,allysti,74,new
numersi,systess,66,new
bengsta,shaptur,61,new
numersi,sersimi,51,new
howaymb,cortsio,135,new
heashes,allysti,132,new
webruic,amatera,133,new
spanoth,proffin,92,new
vervide,angessa,88,new
thramon,digiday,96,new
segessa,wilysta,120,new
finglam,prensta,149,new
thramon,rundsop,82,new
scrunne,defasom,65,new
screnta,subvick,144,new
crivere,menclar,63,new
digiday,heashes,134,new
dispont,sersimi,53,new
agallea,mempise,78,new
strompa,segessa,112,new
prompan,sertsim,126,new
proffin,forsith,115,new
chertin,proffin,145,new
chanywa,ostallo,113,new
afrithe,allysti,87,new
wilysta,opelese,140,new
proffic,cortsio,131,new
maricts,systess,60,new
mervirs,kentsia,81,new
prompan,plareed,94,new
retsits,uranged,109,new
forsith,mempise,71,new
systess,uranged,80,new
spanoth,supplic,122,new
mempise,crivere,72,new
abysted,opelese,101,new
screnta,maricts,85,new
dakinge,retsits,125,new
proffic,messago,98,new
kentsia,digiday,103,new
proffin,talisti,141,new
opelese,finglam,142,new
amatera,dockles,147,new
forsith,allopti,56,new
shaptur,ostallo,83,new
thinatu,comorti,55,new
iningla,forsith,64,new
sertsim,defasom,75,new
subvick,talisti,123,new
bomysta,chertin,137,new
smadian,grappor,97,new
octeste,menclar,148,new
supplic,angessa,121,new
mesimie,subvick,128,new
retsits,prothly,127,new
rundsop,plareed,117,new
supplic,cortsio,136,new
tessigg,defasom,62,new
proffic,loarlai,130,new
numersi,bengsta,67,new
relysta,bomysta,106,new
proffic,memsere,129,new
