stringA,stringB,itemNumber,type
plareed,throvic,20,original
edisted,quarban,46,original
persica,larshic,6,original
mesterf,expisho,26,original
memsere,currimi,37,original
retsits,howaymb,48,original
ostallo,micaust,22,original
octeste,subvick,50,original
amatera,finglam,44,original
tessigg,comorti,1,original
relysta,vervide,19,original
chertin,bomysta,36,original
mesects,rundsop,35,original
spanoth,allysti,15,original
splenne,engally,28,original
scrunne,menclar,5,original
hignoth,mempise,9,original
thramon,shaptur,17,original
sersimi,mervirs,21,original
forsith,defasom,8,original
caltsio,clopect,16,original
smadian,dispont,2,original
ancessa,digiday,39,original
mesimie,dakinge,23,original
cortsio,gremsev,24,original
uranged,crivere,12,original
betwerv,wessish,18,original
wilysta,systess,25,original
numersi,messago,3,original
quingel,opelese,45,original
chanywa,prensta,32,original
webruic,segessa,41,original
prompan,screnta,40,original
allopti,walthel,10,original
articlu,loarlai,14,original
strompa,agallea,13,original
witypro,talisti,38,original
maricts,bengsta,4,original
proffin,tueredo,42,original
grappor,mestead,43,original
commari,thinatu,30,original
abysted,pariono,11,original
dockles,angessa,31,original
locidev,kentsia,27,original
iningla,asplati,7,original
proffic,nathess,47,original
supplic,heashes,49,original
compide,sertsim,29,original
prothly,afrithe,34,original
disingu,perecti,33,original
iningla,loarlai,66,new
segessa,prompan,137,new
asplati,proffic,136,new
proffic,hignoth,133,new
mesects,micaust,98,new
wilysta,afrithe,117,new
mesimie,shaptur,90,new
octeste,vervide,122,new
finglam,segessa,123,new
mesterf,proffin,149,new
tueredo,dockles,146,new
currimi,tueredo,150,new
nathess,menclar,101,new
opelese,allysti,112,new
iningla,amatera,96,new
systess,proffin,95,new
iningla,plareed,53,new
tessigg,commari,60,new
quingel,agallea,107,new
subvick,sertsim,124,new
ancessa,subvick,132,new
chertin,abysted,89,new
locidev,heashes,141,new
dockles,messago,51,new
abysted,thinatu,85,new
betwerv,thramon,69,new
perecti,chanywa,99,new
mesects,finglam,142,new
webruic,wessish,92,new
thramon,proffic,143,new
pariono,mempise,72,new
numersi,smadian,74,new
thinatu,rundsop,120,new
mestead,vervide,113,new
wessish,strompa,68,new
ostallo,comorti,78,new
wessish,articlu,80,new
spanoth,finglam,91,new
compide,walthel,81,new
proffin,talisti,135,new
mempise,relysta,61,new
mesimie,proffin,100,new
forsith,throvic,56,new
retsits,articlu,97,new
forsith,menclar,70,new
prensta,gremsev,105,new
kentsia,currimi,119,new
mempise,opelese,103,new
allysti,wessish,59,new
ancessa,engally,118,new
locidev,chertin,109,new
ostallo,chanywa,102,new
micaust,cortsio,88,new
vervide,hignoth,77,new
prensta,grappor,138,new
shaptur,asplati,65,new
wilysta,bengsta,55,new
witypro,systess,108,new
disingu,afrithe,114,new
webruic,mestead,128,new
larshic,wessish,58,new
heashes,iningla,94,new
hignoth,witypro,87,new
agallea,grappor,104,new
wessish,shaptur,57,new
proffic,octeste,131,new
edisted,howaymb,130,new
systess,iningla,75,new
sertsim,disingu,111,new
prensta,quingel,147,new
quarban,scrunne,106,new
asplati,gremsev,76,new
commari,amatera,134,new
articlu,angessa,83,new
allysti,relysta,62,new
edisted,iningla,116,new
larshic,scrunne,73,new
gremsev,edisted,126,new
quingel,plareed,140,new
engally,spanoth,82,new
vervide,segessa,93,new
finglam,afrithe,144,new
smadian,throvic,63,new
walthel,commari,84,new
commari,spanoth,86,new
micaust,scrunne,67,new
expisho,octeste,145,new
wilysta,asplati,64,new
articlu,persica,79,new
supplic,agallea,129,new
prompan,nathess,148,new
systess,numersi,54,new
screnta,howaymb,125,new
prensta,maricts,71,new
currimi,caltsio,110,new
webruic,mesects,121,new
perecti,quarban,127,new
tessigg,mervirs,52,new
webruic,nathess,139,new
prensta,locidev,115,new
