stringA,stringB,itemNumber,type
afrithe,prothly,34,original
smadian,dispont,2,original
chertin,bomysta,36,original
wessish,betwerv,18,original
ancessa,digiday,39,original
agallea,strompa,13,original
tessigg,comorti,1,original
persica,larshic,6,original
mesterf,expisho,26,original
mesects,rundsop,35,original
forsith,defasom,8,original
kentsia,locidev,27,original
ostallo,micaust,22,original
mesimie,dakinge,23,original
octeste,subvick,50,original
opelese,quingel,45,original
amatera,finglam,44,original
heashes,supplic,49,original
prensta,chanywa,32,original
mestead,grappor,43,original
loarlai,articlu,14,original
crivere,uranged,12,original
sersimi,mervirs,21,original
systess,wilysta,25,original
angessa,dockles,31,original
prompan,screnta,40,original
howaymb,retsits,48,original
compide,sertsim,29,original
numersi,messago,3,original
currimi,memsere,37,original
vervide,relysta,19,original
commari,thinatu,30,original
maricts,bengsta,4,original
gremsev,cortsio,24,original
allopti,walthel,10,original
witypro,talisti,38,original
throvic,plareed,20,original
engally,splenne,28,original
quarban,edisted,46,original
webruic,segessa,41,original
mempise,hignoth,9,original
menclar,scrunne,5,original
iningla,asplati,7,original
shaptur,thramon,17,original
abysted,pariono,11,original
clopect,caltsio,16,original
proffic,nathess,47,original
allysti,spanoth,15,original
disingu,perecti,33,original
proffin,tueredo,42,original
nathess,menclar,92,new
hignoth,expisho,71,new
edisted,prothly,137,new
rundsop,mestead,123,new
compide,sertsim,112,new
ostallo,mempise,75,new
prompan,mesterf,117,new
bomysta,chertin,143,new
wilysta,mestead,119,new
quingel,systess,141,new
grappor,retsits,147,new
wilysta,afrithe,114,new
grappor,ostallo,94,new
amatera,clopect,97,new
dakinge,persica,69,new
nathess,dockles,142,new
scrunne,quingel,113,new
talisti,commari,93,new
maricts,afrithe,88,new
rundsop,cortsio,98,new
segessa,allysti,102,new
opelese,strompa,100,new
abysted,amatera,115,new
uranged,talisti,87,new
comorti,ostallo,64,new
segessa,wilysta,91,new
mervirs,segessa,106,new
menclar,thramon,52,new
expisho,walthel,54,new
amatera,mervirs,95,new
memsere,currimi,126,new
maricts,persica,65,new
agallea,larshic,79,new
betwerv,scrunne,74,new
talisti,mervirs,108,new
opelese,quarban,139,new
bengsta,clopect,57,new
talisti,quingel,134,new
comorti,octeste,118,new
articlu,pariono,51,new
thinatu,subvick,125,new
maricts,plareed,58,new
commari,forsith,86,new
retsits,wilysta,128,new
menclar,segessa,83,new
mesects,prompan,131,new
chertin,articlu,89,new
cortsio,mempise,72,new
abysted,pariono,60,new
kentsia,supplic,148,new
prensta,disingu,101,new
comorti,wessish,67,new
pariono,prompan,103,new
nathess,locidev,144,new
sersimi,defasom,73,new
kentsia,chanywa,110,new
larshic,caltsio,61,new
caltsio,subvick,122,new
dispont,spanoth,78,new
grappor,mestead,145,new
chertin,numersi,84,new
tueredo,betwerv,109,new
amatera,articlu,104,new
menclar,angessa,66,new
finglam,mesects,140,new
octeste,rundsop,130,new
proffin,splenne,138,new
thramon,dispont,55,new
wilysta,splenne,81,new
agallea,iningla,63,new
wessish,dakinge,85,new
prompan,retsits,127,new
prensta,supplic,133,new
shaptur,relysta,76,new
clopect,crivere,62,new
webruic,loarlai,107,new
screnta,engally,99,new
chanywa,splenne,105,new
afrithe,proffic,132,new
octeste,uranged,135,new
supplic,angessa,136,new
agallea,vervide,77,new
engally,messago,68,new
shaptur,pariono,53,new
locidev,caltsio,90,new
forsith,shaptur,70,new
plareed,prompan,111,new
howaymb,smadian,124,new
heashes,quarban,149,new
gremsev,nathess,129,new
proffin,forsith,120,new
maricts,relysta,56,new
edisted,commari,121,new
mesterf,subvick,150,new
chanywa,thinatu,116,new
edisted,quingel,146,new
prothly,agallea,82,new
persica,allysti,59,new
allysti,edisted,96,new
cortsio,maricts,80,new
