stringA,stringB,itemNumber,type
tueredo,proffin,42,original
talisti,witypro,38,original
mestead,grappor,43,original
chertin,bomysta,36,original
edisted,quarban,46,original
bengsta,maricts,4,original
perecti,disingu,33,original
plareed,throvic,20,original
sertsim,compide,29,original
ancessa,digiday,39,original
angessa,dockles,31,original
asplati,iningla,7,original
forsith,defasom,8,original
amatera,finglam,44,original
screnta,prompan,40,original
cortsio,gremsev,24,original
prensta,chanywa,32,original
wessish,betwerv,18,original
scrunne,menclar,5,original
segessa,webruic,41,original
sersimi,mervirs,21,original
splenne,engally,28,original
pariono,abysted,11,original
crivere,uranged,12,original
tessigg,comorti,1,original
dispont,smadian,2,original
wilysta,systess,25,original
clopect,caltsio,16,original
currimi,memsere,37,original
mempise,hignoth,9,original
micaust,ostallo,22,original
articlu,loarlai,14,original
strompa,agallea,13,original
prothly,afrithe,34,original
howaymb,retsits,48,original
rundsop,mesects,35,original
vervide,relysta,19,original
subvick,octeste,50,original
proffic,nathess,47,original
supplic,heashes,49,original
allysti,spanoth,15,original
locidev,kentsia,27,original
quingel,opelese,45,original
dakinge,mesimie,23,original
numersi,messago,3,original
expisho,mesterf,26,original
larshic,persica,6,original
shaptur,thramon,17,original
commari,thinatu,30,original
allopti,walthel,10,original
crivere,numersi,78,new
amatera,subvick,144,new
pariono,dispont,74,new
supplic,plareed,123,new
nathess,prothly,131,new
walthel,rundsop,89,new
afrithe,quingel,143,new
messago,numersi,63,new
prothly,asplati,87,new
wessish,subvick,140,new
proffin,thinatu,150,new
howaymb,bengsta,122,new
opelese,subvick,149,new
talisti,dockles,110,new
amatera,expisho,112,new
abysted,amatera,100,new
perecti,quarban,127,new
mestead,micaust,108,new
proffic,walthel,130,new
crivere,mervirs,70,new
bengsta,proffic,116,new
menclar,thramon,69,new
perecti,numersi,59,new
subvick,retsits,148,new
numersi,prensta,62,new
afrithe,gremsev,95,new
relysta,compide,83,new
commari,tessigg,65,new
pariono,webruic,93,new
prensta,quarban,145,new
mestead,allysti,94,new
ancessa,allopti,88,new
howaymb,screnta,141,new
witypro,loarlai,97,new
walthel,prompan,120,new
tessigg,expisho,71,new
octeste,allysti,126,new
spanoth,iningla,52,new
mempise,kentsia,67,new
allysti,tueredo,109,new
octeste,commari,138,new
memsere,witypro,146,new
locidev,sersimi,85,new
bengsta,allysti,77,new
uranged,walthel,54,new
shaptur,wessish,60,new
articlu,mestead,119,new
dakinge,scrunne,55,new
tueredo,dockles,147,new
micaust,opelese,115,new
scrunne,mervirs,58,new
menclar,edisted,117,new
disingu,ancessa,99,new
mesterf,expisho,82,new
angessa,proffic,136,new
dispont,retsits,107,new
heashes,iningla,118,new
howaymb,cortsio,135,new
defasom,octeste,124,new
articlu,thramon,75,new
dispont,kentsia,72,new
quingel,messago,92,new
quarban,sertsim,133,new
perecti,uranged,84,new
allysti,messago,61,new
micaust,screnta,105,new
wilysta,messago,51,new
compide,retsits,132,new
prensta,gremsev,106,new
prothly,opelese,125,new
opelese,digiday,139,new
proffic,tueredo,134,new
strompa,hignoth,76,new
quingel,relysta,121,new
sertsim,disingu,111,new
menclar,loarlai,56,new
commari,memsere,98,new
chertin,expisho,96,new
finglam,splenne,128,new
nathess,iningla,103,new
strompa,sertsim,86,new
octeste,proffin,142,new
messago,mempise,64,new
defasom,heashes,91,new
pariono,quarban,113,new
mesimie,larshic,53,new
abysted,agallea,68,new
messago,menclar,66,new
allysti,amatera,104,new
dispont,tessigg,73,new
micaust,crivere,80,new
grappor,bengsta,101,new
retsits,webruic,137,new
asplati,defasom,57,new
segessa,throvic,114,new
larshic,mesterf,79,new
tueredo,iningla,81,new
engally,loarlai,90,new
prothly,edisted,129,new
memsere,expisho,102,new
